station,week_r,year_r,monitor_read
D.C.E.,48,2012,0.0
D.C.E.,48,2013,0.0
D.C.E.,48,2014,0.0
D.C.E.,48,2015,0.0
D.C.E.,49,2011,0.0
D.C.E.,49,2012,0.0
D.C.E.,49,2013,0.0
D.C.E.,49,2014,0.0
D.C.E.,50,2011,0.0
D.C.E.,50,2012,0.0
D.C.E.,50,2013,0.0
D.C.E.,50,2014,0.0
D.C.E.,51,2011,0.0
D.C.E.,51,2012,0.0
D.C.E.,51,2013,0.0
D.C.E.,51,2014,0.0
D.C.E.,52,2011,0.0
D.C.E.,52,2012,0.0
D.C.E.,52,2013,0.0
D.C.E.,52,2014,0.0
Dwarka,1,2015,0.0
Dwarka,2,2015,0.0
Dwarka,3,2014,0.0
Dwarka,3,2015,0.0
Dwarka,4,2014,0.0
Dwarka,4,2015,0.0
Dwarka,5,2014,0.0
Dwarka,5,2015,0.0
Dwarka,6,2014,0.0
Dwarka,6,2015,0.0
Dwarka,7,2014,0.0
Dwarka,7,2015,0.0
Dwarka,8,2014,0.0
Dwarka,8,2015,0.0
Dwarka,9,2014,0.0
Dwarka,9,2015,0.0
Dwarka,10,2014,0.0
Dwarka,10,2015,0.0
Dwarka,11,2014,0.0
Dwarka,11,2015,0.0
Dwarka,12,2014,0.0
Dwarka,12,2015,0.0
Dwarka,13,2014,0.0
Dwarka,13,2015,0.8244047619047619
Dwarka,14,2014,0.0
Dwarka,14,2015,0.7931547619047619
Dwarka,15,2014,0.0
Dwarka,15,2015,0.7172619047619048
Dwarka,16,2014,0.0
Dwarka,16,2015,0.7916666666666666
Dwarka,17,2014,0.0
Dwarka,17,2015,1.0
Dwarka,18,2014,0.0
Dwarka,18,2015,0.8943452380952381
Dwarka,19,2014,0.0
Dwarka,19,2015,0.9776785714285714
Dwarka,20,2014,0.0
Dwarka,20,2015,0.8883928571428571
Dwarka,21,2014,0.0
Dwarka,21,2015,0.875
Dwarka,22,2014,0.0
Dwarka,22,2015,1.0
Dwarka,23,2014,0.0
Dwarka,23,2015,1.0
Dwarka,24,2014,0.0
Dwarka,24,2015,0.6056547619047619
Dwarka,25,2014,0.0
Dwarka,25,2015,0.7752976190476191
Dwarka,26,2014,0.0
Dwarka,26,2015,0.9702380952380952
Dwarka,27,2014,0.0
Dwarka,27,2015,0.6130952380952381
Dwarka,28,2014,0.0
Dwarka,28,2015,0.6339285714285714
Dwarka,29,2014,0.0
Dwarka,29,2015,0.6800595238095238
Dwarka,30,2014,0.0
Dwarka,30,2015,0.19047619047619047
Dwarka,31,2014,0.0
Dwarka,31,2015,0.8050595238095238
Dwarka,32,2014,0.0
Dwarka,32,2015,0.8273809523809523
Dwarka,33,2014,0.0
Dwarka,33,2015,0.9568452380952381
Dwarka,34,2014,0.0
Dwarka,34,2015,0.375
Dwarka,35,2014,0.0
Dwarka,35,2015,0.6190476190476191
Dwarka,36,2014,0.0
Dwarka,36,2015,0.8080357142857143
Dwarka,37,2014,0.0
Dwarka,37,2015,0.7366071428571429
Dwarka,38,2014,0.0
Dwarka,38,2015,0.9107142857142857
Dwarka,39,2014,0.0
Dwarka,39,2015,0.9345238095238095
Dwarka,40,2014,0.0
Dwarka,40,2015,0.23214285714285715
Dwarka,41,2014,0.0
Dwarka,41,2015,0.0
Dwarka,42,2014,0.0
Dwarka,42,2015,0.0
Dwarka,43,2014,0.0
Dwarka,43,2015,0.0
Dwarka,44,2014,0.0
Dwarka,44,2015,0.5223214285714286
Dwarka,45,2014,0.0
Dwarka,45,2015,0.8616071428571429
Dwarka,46,2014,0.0
Dwarka,46,2015,0.7901785714285714
Dwarka,47,2014,0.0
Dwarka,47,2015,0.8839285714285714
Dwarka,48,2014,0.0
Dwarka,48,2015,0.9066666666666666
Dwarka,49,2014,0.0
Dwarka,50,2014,0.0
Dwarka,51,2014,0.0
Dwarka,52,2014,0.0
IGI Airport,1,2015,0.9955357142857143
IGI Airport,2,2015,1.0
IGI Airport,3,2015,1.0
IGI Airport,4,2015,1.0
IGI Airport,5,2015,0.9955357142857143
IGI Airport,6,2015,1.0
IGI Airport,7,2015,1.0
IGI Airport,8,2015,1.0
IGI Airport,9,2015,0.9955357142857143
IGI Airport,10,2015,1.0
IGI Airport,11,2015,1.0
IGI Airport,12,2015,1.0
IGI Airport,13,2015,0.9657738095238095
IGI Airport,14,2015,0.9955357142857143
IGI Airport,15,2015,1.0
IGI Airport,16,2015,1.0
IGI Airport,17,2015,0.9955357142857143
IGI Airport,18,2015,0.5684523809523809
IGI Airport,19,2015,0.0
IGI Airport,20,2015,0.0
IGI Airport,21,2015,0.0
IGI Airport,22,2015,0.0
IGI Airport,23,2015,0.9985119047619048
IGI Airport,24,2015,0.9538690476190477
IGI Airport,25,2015,0.9970238095238095
IGI Airport,26,2015,1.0
IGI Airport,27,2015,0.9925595238095238
IGI Airport,28,2015,0.6428571428571429
IGI Airport,29,2015,0.0
IGI Airport,30,2015,0.0
IGI Airport,31,2015,0.0
